date,j,flow_taf
11/30/1927,C106,2.617
12/31/1927,C106,2.431
1/31/1928,C106,2.161
2/29/1928,C106,2.338
3/31/1928,C106,2.291
4/30/1928,C106,2.922
5/31/1928,C106,3.278
6/30/1928,C106,3.797
7/31/1928,C106,3.858
8/31/1928,C106,4.014
9/30/1928,C106,3.603
10/31/1928,C106,3.24
11/30/1928,C106,2.617
12/31/1928,C106,2.431
1/31/1929,C106,2.161
2/28/1929,C106,2.338
3/31/1929,C106,2.291
4/30/1929,C106,2.922
5/31/1929,C106,3.278
6/30/1929,C106,3.797
7/31/1929,C106,3.858
8/31/1929,C106,4.014
9/30/1929,C106,3.603
10/31/1929,C106,3.24
11/30/1929,C106,2.617
12/31/1929,C106,2.431
1/31/1930,C106,2.161
2/28/1930,C106,2.338
3/31/1930,C106,2.291
4/30/1930,C106,2.922
5/31/1930,C106,3.278
6/30/1930,C106,3.797
7/31/1930,C106,3.858
8/31/1930,C106,4.014
9/30/1930,C106,3.603
10/31/1930,C106,3.24
11/30/1930,C106,2.617
12/31/1930,C106,2.431
1/31/1931,C106,2.161
2/28/1931,C106,2.338
3/31/1931,C106,2.291
4/30/1931,C106,2.922
5/31/1931,C106,3.278
6/30/1931,C106,3.797
7/31/1931,C106,3.858
8/31/1931,C106,4.014
9/30/1931,C106,3.603
10/31/1931,C106,3.24
11/30/1931,C106,2.617
12/31/1931,C106,2.431
1/31/1932,C106,2.161
2/29/1932,C106,2.338
3/31/1932,C106,2.291
4/30/1932,C106,2.922
5/31/1932,C106,3.278
6/30/1932,C106,3.797
7/31/1932,C106,3.858
8/31/1932,C106,4.014
9/30/1932,C106,3.603
10/31/1932,C106,3.24
11/30/1932,C106,2.617
12/31/1932,C106,2.431
1/31/1933,C106,2.161
2/28/1933,C106,2.338
3/31/1933,C106,2.291
4/30/1933,C106,2.922
5/31/1933,C106,3.278
6/30/1933,C106,3.797
7/31/1933,C106,3.858
8/31/1933,C106,4.014
9/30/1933,C106,3.603
10/31/1933,C106,3.24
11/30/1933,C106,2.617
12/31/1933,C106,2.431
1/31/1934,C106,2.161
2/28/1934,C106,2.338
3/31/1934,C106,2.291
4/30/1934,C106,2.922
5/31/1934,C106,3.278
6/30/1934,C106,3.797
7/31/1934,C106,3.858
8/31/1934,C106,4.014
9/30/1934,C106,3.603
10/31/1934,C106,3.24
11/30/1934,C106,2.617
12/31/1934,C106,2.431
1/31/1935,C106,2.161
2/28/1935,C106,2.338
3/31/1935,C106,2.291
4/30/1935,C106,2.922
5/31/1935,C106,3.278
6/30/1935,C106,3.797
7/31/1935,C106,3.858
8/31/1935,C106,4.014
9/30/1935,C106,3.603
10/31/1935,C106,3.24
11/30/1935,C106,2.617
12/31/1935,C106,2.431
1/31/1936,C106,2.161
2/29/1936,C106,2.338
3/31/1936,C106,2.291
4/30/1936,C106,2.922
5/31/1936,C106,3.278
6/30/1936,C106,3.797
7/31/1936,C106,3.858
8/31/1936,C106,4.014
9/30/1936,C106,3.603
10/31/1936,C106,3.24
11/30/1936,C106,2.617
12/31/1936,C106,2.431
1/31/1937,C106,2.161
2/28/1937,C106,2.338
3/31/1937,C106,2.291
4/30/1937,C106,2.922
5/31/1937,C106,3.278
6/30/1937,C106,3.797
7/31/1937,C106,3.858
8/31/1937,C106,4.014
9/30/1937,C106,3.603
10/31/1937,C106,3.24
11/30/1937,C106,2.617
12/31/1937,C106,2.431
1/31/1938,C106,2.161
2/28/1938,C106,2.338
3/31/1938,C106,2.291
4/30/1938,C106,2.922
5/31/1938,C106,3.278
6/30/1938,C106,3.797
7/31/1938,C106,3.858
8/31/1938,C106,4.014
9/30/1938,C106,3.603
10/31/1938,C106,3.24
11/30/1938,C106,2.617
12/31/1938,C106,2.431
1/31/1939,C106,2.161
2/28/1939,C106,2.338
3/31/1939,C106,2.291
4/30/1939,C106,2.922
5/31/1939,C106,3.278
6/30/1939,C106,3.797
7/31/1939,C106,3.858
8/31/1939,C106,4.014
9/30/1939,C106,3.603
10/31/1939,C106,3.24
11/30/1939,C106,2.617
12/31/1939,C106,2.431
1/31/1940,C106,2.161
2/29/1940,C106,2.338
3/31/1940,C106,2.291
4/30/1940,C106,2.922
5/31/1940,C106,3.278
6/30/1940,C106,3.797
7/31/1940,C106,3.858
8/31/1940,C106,4.014
9/30/1940,C106,3.603
10/31/1940,C106,3.24
11/30/1940,C106,2.617
12/31/1940,C106,2.431
1/31/1941,C106,2.161
2/28/1941,C106,2.338
3/31/1941,C106,2.291
4/30/1941,C106,2.922
5/31/1941,C106,3.278
6/30/1941,C106,3.797
7/31/1941,C106,3.858
8/31/1941,C106,4.014
9/30/1941,C106,3.603
10/31/1941,C106,3.24
11/30/1941,C106,2.617
12/31/1941,C106,2.431
1/31/1942,C106,2.161
2/28/1942,C106,2.338
3/31/1942,C106,2.291
4/30/1942,C106,2.922
5/31/1942,C106,3.278
6/30/1942,C106,3.797
7/31/1942,C106,3.858
8/31/1942,C106,4.014
9/30/1942,C106,3.603
10/31/1942,C106,3.24
11/30/1942,C106,2.617
12/31/1942,C106,2.431
1/31/1943,C106,2.161
2/28/1943,C106,2.338
3/31/1943,C106,2.291
4/30/1943,C106,2.922
5/31/1943,C106,3.278
6/30/1943,C106,3.797
7/31/1943,C106,3.858
8/31/1943,C106,4.014
9/30/1943,C106,3.603
10/31/1943,C106,3.24
11/30/1943,C106,2.617
12/31/1943,C106,2.431
1/31/1944,C106,2.161
2/29/1944,C106,2.338
3/31/1944,C106,2.291
4/30/1944,C106,2.922
5/31/1944,C106,3.278
6/30/1944,C106,3.797
7/31/1944,C106,3.858
8/31/1944,C106,4.014
9/30/1944,C106,3.603
10/31/1944,C106,3.24
11/30/1944,C106,2.617
12/31/1944,C106,2.431
1/31/1945,C106,2.161
2/28/1945,C106,2.338
3/31/1945,C106,2.291
4/30/1945,C106,2.922
5/31/1945,C106,3.278
6/30/1945,C106,3.797
7/31/1945,C106,3.858
8/31/1945,C106,4.014
9/30/1945,C106,3.603
10/31/1945,C106,3.24
11/30/1945,C106,2.617
12/31/1945,C106,2.431
1/31/1946,C106,2.161
2/28/1946,C106,2.338
3/31/1946,C106,2.291
4/30/1946,C106,2.922
5/31/1946,C106,3.278
6/30/1946,C106,3.797
7/31/1946,C106,3.858
8/31/1946,C106,4.014
9/30/1946,C106,3.603
10/31/1946,C106,3.24
11/30/1946,C106,2.617
12/31/1946,C106,2.431
1/31/1947,C106,2.161
2/28/1947,C106,2.338
3/31/1947,C106,2.291
4/30/1947,C106,2.922
5/31/1947,C106,3.278
6/30/1947,C106,3.797
7/31/1947,C106,3.858
8/31/1947,C106,4.014
9/30/1947,C106,3.603
10/31/1947,C106,3.24
11/30/1947,C106,2.617
12/31/1947,C106,2.431
1/31/1948,C106,2.161
2/29/1948,C106,2.338
3/31/1948,C106,2.291
4/30/1948,C106,2.922
5/31/1948,C106,3.278
6/30/1948,C106,3.797
7/31/1948,C106,3.858
8/31/1948,C106,4.014
9/30/1948,C106,3.603
10/31/1948,C106,3.24
11/30/1948,C106,2.617
12/31/1948,C106,2.431
1/31/1949,C106,2.161
2/28/1949,C106,2.338
3/31/1949,C106,2.291
4/30/1949,C106,2.922
5/31/1949,C106,3.278
6/30/1949,C106,3.797
7/31/1949,C106,3.858
8/31/1949,C106,4.014
9/30/1949,C106,3.603
10/31/1949,C106,3.24
11/30/1949,C106,2.617
12/31/1949,C106,2.431
1/31/1950,C106,2.161
2/28/1950,C106,2.338
3/31/1950,C106,2.291
4/30/1950,C106,2.922
5/31/1950,C106,3.278
6/30/1950,C106,3.797
7/31/1950,C106,3.858
8/31/1950,C106,4.014
9/30/1950,C106,3.603
10/31/1950,C106,3.24
11/30/1950,C106,2.617
12/31/1950,C106,2.431
1/31/1951,C106,2.161
2/28/1951,C106,2.338
3/31/1951,C106,2.291
4/30/1951,C106,2.922
5/31/1951,C106,3.278
6/30/1951,C106,3.797
7/31/1951,C106,3.858
8/31/1951,C106,4.014
9/30/1951,C106,3.603
10/31/1951,C106,3.24
11/30/1951,C106,2.617
12/31/1951,C106,2.431
1/31/1952,C106,2.161
2/29/1952,C106,2.338
3/31/1952,C106,2.291
4/30/1952,C106,2.922
5/31/1952,C106,3.278
6/30/1952,C106,3.797
7/31/1952,C106,3.858
8/31/1952,C106,4.014
9/30/1952,C106,3.603
10/31/1952,C106,3.24
11/30/1952,C106,2.617
12/31/1952,C106,2.431
1/31/1953,C106,2.161
2/28/1953,C106,2.338
3/31/1953,C106,2.291
4/30/1953,C106,2.922
5/31/1953,C106,3.278
6/30/1953,C106,3.797
7/31/1953,C106,3.858
8/31/1953,C106,4.014
9/30/1953,C106,3.603
10/31/1953,C106,3.24
11/30/1953,C106,2.617
12/31/1953,C106,2.431
1/31/1954,C106,2.161
2/28/1954,C106,2.338
3/31/1954,C106,2.291
4/30/1954,C106,2.922
5/31/1954,C106,3.278
6/30/1954,C106,3.797
7/31/1954,C106,3.858
8/31/1954,C106,4.014
9/30/1954,C106,3.603
10/31/1954,C106,3.24
11/30/1954,C106,2.617
12/31/1954,C106,2.431
1/31/1955,C106,2.161
2/28/1955,C106,2.338
3/31/1955,C106,2.291
4/30/1955,C106,2.922
5/31/1955,C106,3.278
6/30/1955,C106,3.797
7/31/1955,C106,3.858
8/31/1955,C106,4.014
9/30/1955,C106,3.603
10/31/1955,C106,3.24
11/30/1955,C106,2.617
12/31/1955,C106,2.431
1/31/1956,C106,2.161
2/29/1956,C106,2.338
3/31/1956,C106,2.291
4/30/1956,C106,2.922
5/31/1956,C106,3.278
6/30/1956,C106,3.797
7/31/1956,C106,3.858
8/31/1956,C106,4.014
9/30/1956,C106,3.603
10/31/1956,C106,3.24
11/30/1956,C106,2.617
12/31/1956,C106,2.431
1/31/1957,C106,2.161
2/28/1957,C106,2.338
3/31/1957,C106,2.291
4/30/1957,C106,2.922
5/31/1957,C106,3.278
6/30/1957,C106,3.797
7/31/1957,C106,3.858
8/31/1957,C106,4.014
9/30/1957,C106,3.603
10/31/1957,C106,3.24
11/30/1957,C106,2.617
12/31/1957,C106,2.431
1/31/1958,C106,2.161
2/28/1958,C106,2.338
3/31/1958,C106,2.291
4/30/1958,C106,2.922
5/31/1958,C106,3.278
6/30/1958,C106,3.797
7/31/1958,C106,3.858
8/31/1958,C106,4.014
9/30/1958,C106,3.603
10/31/1958,C106,3.24
11/30/1958,C106,2.617
12/31/1958,C106,2.431
1/31/1959,C106,2.161
2/28/1959,C106,2.338
3/31/1959,C106,2.291
4/30/1959,C106,2.922
5/31/1959,C106,3.278
6/30/1959,C106,3.797
7/31/1959,C106,3.858
8/31/1959,C106,4.014
9/30/1959,C106,3.603
10/31/1959,C106,3.24
11/30/1959,C106,2.617
12/31/1959,C106,2.431
1/31/1960,C106,2.161
2/29/1960,C106,2.338
3/31/1960,C106,2.291
4/30/1960,C106,2.922
5/31/1960,C106,3.278
6/30/1960,C106,3.797
7/31/1960,C106,3.858
8/31/1960,C106,4.014
9/30/1960,C106,3.603
10/31/1960,C106,3.24
11/30/1960,C106,2.617
12/31/1960,C106,2.431
1/31/1961,C106,2.161
2/28/1961,C106,2.338
3/31/1961,C106,2.291
4/30/1961,C106,2.922
5/31/1961,C106,3.278
6/30/1961,C106,3.797
7/31/1961,C106,3.858
8/31/1961,C106,4.014
9/30/1961,C106,3.603
10/31/1961,C106,3.24
11/30/1961,C106,2.617
12/31/1961,C106,2.431
1/31/1962,C106,2.161
2/28/1962,C106,2.338
3/31/1962,C106,2.291
4/30/1962,C106,2.922
5/31/1962,C106,3.278
6/30/1962,C106,3.797
7/31/1962,C106,3.858
8/31/1962,C106,4.014
9/30/1962,C106,3.603
10/31/1962,C106,3.24
11/30/1962,C106,2.617
12/31/1962,C106,2.431
1/31/1963,C106,2.161
2/28/1963,C106,2.338
3/31/1963,C106,2.291
4/30/1963,C106,2.922
5/31/1963,C106,3.278
6/30/1963,C106,3.797
7/31/1963,C106,3.858
8/31/1963,C106,4.014
9/30/1963,C106,3.603
10/31/1963,C106,3.24
11/30/1963,C106,2.617
12/31/1963,C106,2.431
1/31/1964,C106,2.161
2/29/1964,C106,2.338
3/31/1964,C106,2.291
4/30/1964,C106,2.922
5/31/1964,C106,3.278
6/30/1964,C106,3.797
7/31/1964,C106,3.858
8/31/1964,C106,4.014
9/30/1964,C106,3.603
10/31/1964,C106,3.24
11/30/1964,C106,2.617
12/31/1964,C106,2.431
1/31/1965,C106,2.161
2/28/1965,C106,2.338
3/31/1965,C106,2.291
4/30/1965,C106,2.922
5/31/1965,C106,3.278
6/30/1965,C106,3.797
7/31/1965,C106,3.858
8/31/1965,C106,4.014
9/30/1965,C106,3.603
10/31/1965,C106,3.24
11/30/1965,C106,2.617
12/31/1965,C106,2.431
1/31/1966,C106,2.161
2/28/1966,C106,2.338
3/31/1966,C106,2.291
4/30/1966,C106,2.922
5/31/1966,C106,3.278
6/30/1966,C106,3.797
7/31/1966,C106,3.858
8/31/1966,C106,4.014
9/30/1966,C106,3.603
10/31/1966,C106,3.24
11/30/1966,C106,2.617
12/31/1966,C106,2.431
1/31/1967,C106,2.161
2/28/1967,C106,2.338
3/31/1967,C106,2.291
4/30/1967,C106,2.922
5/31/1967,C106,3.278
6/30/1967,C106,3.797
7/31/1967,C106,3.858
8/31/1967,C106,4.014
9/30/1967,C106,3.603
10/31/1967,C106,3.24
11/30/1967,C106,2.617
12/31/1967,C106,2.431
1/31/1968,C106,2.161
2/29/1968,C106,2.338
3/31/1968,C106,2.291
4/30/1968,C106,2.922
5/31/1968,C106,3.278
6/30/1968,C106,3.797
7/31/1968,C106,3.858
8/31/1968,C106,4.014
9/30/1968,C106,3.603
10/31/1968,C106,3.24
11/30/1968,C106,2.617
12/31/1968,C106,2.431
1/31/1969,C106,2.161
2/28/1969,C106,2.338
3/31/1969,C106,2.291
4/30/1969,C106,2.922
5/31/1969,C106,3.278
6/30/1969,C106,3.797
7/31/1969,C106,3.858
8/31/1969,C106,4.014
9/30/1969,C106,3.603
10/31/1969,C106,3.24
11/30/1969,C106,2.617
12/31/1969,C106,2.431
1/31/1970,C106,2.161
2/28/1970,C106,2.338
3/31/1970,C106,2.291
4/30/1970,C106,2.922
5/31/1970,C106,3.278
6/30/1970,C106,3.797
7/31/1970,C106,3.858
8/31/1970,C106,4.014
9/30/1970,C106,3.603
10/31/1970,C106,3.24
11/30/1970,C106,2.617
12/31/1970,C106,2.431
1/31/1971,C106,2.161
2/28/1971,C106,2.338
3/31/1971,C106,2.291
4/30/1971,C106,2.922
5/31/1971,C106,3.278
6/30/1971,C106,3.797
7/31/1971,C106,3.858
8/31/1971,C106,4.014
9/30/1971,C106,3.603
10/31/1971,C106,3.24
11/30/1971,C106,2.617
12/31/1971,C106,2.431
1/31/1972,C106,2.161
2/29/1972,C106,2.338
3/31/1972,C106,2.291
4/30/1972,C106,2.922
5/31/1972,C106,3.278
6/30/1972,C106,3.797
7/31/1972,C106,3.858
8/31/1972,C106,4.014
9/30/1972,C106,3.603
10/31/1972,C106,3.24
11/30/1972,C106,2.617
12/31/1972,C106,2.431
1/31/1973,C106,2.161
2/28/1973,C106,2.338
3/31/1973,C106,2.291
4/30/1973,C106,2.922
5/31/1973,C106,3.278
6/30/1973,C106,3.797
7/31/1973,C106,3.858
8/31/1973,C106,4.014
9/30/1973,C106,3.603
10/31/1973,C106,3.24
11/30/1973,C106,2.617
12/31/1973,C106,2.431
1/31/1974,C106,2.161
2/28/1974,C106,2.338
3/31/1974,C106,2.291
4/30/1974,C106,2.922
5/31/1974,C106,3.278
6/30/1974,C106,3.797
7/31/1974,C106,3.858
8/31/1974,C106,4.014
9/30/1974,C106,3.603
10/31/1974,C106,3.24
11/30/1974,C106,2.617
12/31/1974,C106,2.431
1/31/1975,C106,2.161
2/28/1975,C106,2.338
3/31/1975,C106,2.291
4/30/1975,C106,2.922
5/31/1975,C106,3.278
6/30/1975,C106,3.797
7/31/1975,C106,3.858
8/31/1975,C106,4.014
9/30/1975,C106,3.603
10/31/1975,C106,3.24
11/30/1975,C106,2.617
12/31/1975,C106,2.431
1/31/1976,C106,2.161
2/29/1976,C106,2.338
3/31/1976,C106,2.291
4/30/1976,C106,2.922
5/31/1976,C106,3.278
6/30/1976,C106,3.797
7/31/1976,C106,3.858
8/31/1976,C106,4.014
9/30/1976,C106,3.603
10/31/1976,C106,3.24
11/30/1976,C106,2.617
12/31/1976,C106,2.431
1/31/1977,C106,2.161
2/28/1977,C106,2.338
3/31/1977,C106,2.291
4/30/1977,C106,2.922
5/31/1977,C106,3.278
6/30/1977,C106,3.797
7/31/1977,C106,3.858
8/31/1977,C106,4.014
9/30/1977,C106,3.603
10/31/1977,C106,3.24
11/30/1977,C106,2.617
12/31/1977,C106,2.431
1/31/1978,C106,2.161
2/28/1978,C106,2.338
3/31/1978,C106,2.291
4/30/1978,C106,2.922
5/31/1978,C106,3.278
6/30/1978,C106,3.797
7/31/1978,C106,3.858
8/31/1978,C106,4.014
9/30/1978,C106,3.603
10/31/1978,C106,3.24
11/30/1978,C106,2.617
12/31/1978,C106,2.431
1/31/1979,C106,2.161
2/28/1979,C106,2.338
3/31/1979,C106,2.291
4/30/1979,C106,2.922
5/31/1979,C106,3.278
6/30/1979,C106,3.797
7/31/1979,C106,3.858
8/31/1979,C106,4.014
9/30/1979,C106,3.603
10/31/1979,C106,3.24
11/30/1979,C106,2.617
12/31/1979,C106,2.431
1/31/1980,C106,2.161
2/29/1980,C106,2.338
3/31/1980,C106,2.291
4/30/1980,C106,2.922
5/31/1980,C106,3.278
6/30/1980,C106,3.797
7/31/1980,C106,3.858
8/31/1980,C106,4.014
9/30/1980,C106,3.603
10/31/1980,C106,3.24
11/30/1980,C106,2.617
12/31/1980,C106,2.431
1/31/1981,C106,2.161
2/28/1981,C106,2.338
3/31/1981,C106,2.291
4/30/1981,C106,2.922
5/31/1981,C106,3.278
6/30/1981,C106,3.797
7/31/1981,C106,3.858
8/31/1981,C106,4.014
9/30/1981,C106,3.603
10/31/1981,C106,3.24
11/30/1981,C106,2.617
12/31/1981,C106,2.431
1/31/1982,C106,2.161
2/28/1982,C106,2.338
3/31/1982,C106,2.291
4/30/1982,C106,2.922
5/31/1982,C106,3.278
6/30/1982,C106,3.797
7/31/1982,C106,3.858
8/31/1982,C106,4.014
9/30/1982,C106,3.603
10/31/1982,C106,3.24
11/30/1982,C106,2.617
12/31/1982,C106,2.431
1/31/1983,C106,2.161
2/28/1983,C106,2.338
3/31/1983,C106,2.291
4/30/1983,C106,2.922
5/31/1983,C106,3.278
6/30/1983,C106,3.797
7/31/1983,C106,3.858
8/31/1983,C106,4.014
9/30/1983,C106,3.603
10/31/1983,C106,3.24
11/30/1983,C106,2.617
12/31/1983,C106,2.431
1/31/1984,C106,2.161
2/29/1984,C106,2.338
3/31/1984,C106,2.291
4/30/1984,C106,2.922
5/31/1984,C106,3.278
6/30/1984,C106,3.797
7/31/1984,C106,3.858
8/31/1984,C106,4.014
9/30/1984,C106,3.603
10/31/1984,C106,3.24
11/30/1984,C106,2.617
12/31/1984,C106,2.431
1/31/1985,C106,2.161
2/28/1985,C106,2.338
3/31/1985,C106,2.291
4/30/1985,C106,2.922
5/31/1985,C106,3.278
6/30/1985,C106,3.797
7/31/1985,C106,3.858
8/31/1985,C106,4.014
9/30/1985,C106,3.603
10/31/1985,C106,3.24
11/30/1985,C106,2.617
12/31/1985,C106,2.431
1/31/1986,C106,2.161
2/28/1986,C106,2.338
3/31/1986,C106,2.291
4/30/1986,C106,2.922
5/31/1986,C106,3.278
6/30/1986,C106,3.797
7/31/1986,C106,3.858
8/31/1986,C106,4.014
9/30/1986,C106,3.603
10/31/1986,C106,3.24
11/30/1986,C106,2.617
12/31/1986,C106,2.431
1/31/1987,C106,2.161
2/28/1987,C106,2.338
3/31/1987,C106,2.291
4/30/1987,C106,2.922
5/31/1987,C106,3.278
6/30/1987,C106,3.797
7/31/1987,C106,3.858
8/31/1987,C106,4.014
9/30/1987,C106,3.603
10/31/1987,C106,3.24
11/30/1987,C106,2.617
12/31/1987,C106,2.431
1/31/1988,C106,2.161
2/29/1988,C106,2.338
3/31/1988,C106,2.291
4/30/1988,C106,2.922
5/31/1988,C106,3.278
6/30/1988,C106,3.797
7/31/1988,C106,3.858
8/31/1988,C106,4.014
9/30/1988,C106,3.603
10/31/1988,C106,3.24
11/30/1988,C106,2.617
12/31/1988,C106,2.431
1/31/1989,C106,2.161
2/28/1989,C106,2.338
3/31/1989,C106,2.291
4/30/1989,C106,2.922
5/31/1989,C106,3.278
6/30/1989,C106,3.797
7/31/1989,C106,3.858
8/31/1989,C106,4.014
9/30/1989,C106,3.603
10/31/1989,C106,3.24
11/30/1989,C106,2.617
12/31/1989,C106,2.431
1/31/1990,C106,2.161
2/28/1990,C106,2.338
3/31/1990,C106,2.291
4/30/1990,C106,2.922
5/31/1990,C106,3.278
6/30/1990,C106,3.797
7/31/1990,C106,3.858
8/31/1990,C106,4.014
9/30/1990,C106,3.603
10/31/1990,C106,3.24
11/30/1990,C106,2.617
12/31/1990,C106,2.431
1/31/1991,C106,2.161
2/28/1991,C106,2.338
3/31/1991,C106,2.291
4/30/1991,C106,2.922
5/31/1991,C106,3.278
6/30/1991,C106,3.797
7/31/1991,C106,3.858
8/31/1991,C106,4.014
9/30/1991,C106,3.603
10/31/1991,C106,3.24
11/30/1991,C106,2.617
12/31/1991,C106,2.431
1/31/1992,C106,2.161
2/29/1992,C106,2.338
3/31/1992,C106,2.291
4/30/1992,C106,2.922
5/31/1992,C106,3.278
6/30/1992,C106,3.797
7/31/1992,C106,3.858
8/31/1992,C106,4.014
9/30/1992,C106,3.603
10/31/1992,C106,3.24
11/30/1992,C106,2.617
12/31/1992,C106,2.431
1/31/1993,C106,2.161
2/28/1993,C106,2.338
3/31/1993,C106,2.291
4/30/1993,C106,2.922
5/31/1993,C106,3.278
6/30/1993,C106,3.797
7/31/1993,C106,3.858
8/31/1993,C106,4.014
9/30/1993,C106,3.603
10/31/1993,C106,3.24
11/30/1993,C106,2.617
12/31/1993,C106,2.431
1/31/1994,C106,2.161
2/28/1994,C106,2.338
3/31/1994,C106,2.291
4/30/1994,C106,2.922
5/31/1994,C106,3.278
6/30/1994,C106,3.797
7/31/1994,C106,3.858
8/31/1994,C106,4.014
9/30/1994,C106,3.603
10/31/1994,C106,3.24
11/30/1994,C106,2.617
12/31/1994,C106,2.431
1/31/1995,C106,2.161
2/28/1995,C106,2.338
3/31/1995,C106,2.291
4/30/1995,C106,2.922
5/31/1995,C106,3.278
6/30/1995,C106,3.797
7/31/1995,C106,3.858
8/31/1995,C106,4.014
9/30/1995,C106,3.603
10/31/1995,C106,3.24
11/30/1995,C106,2.617
12/31/1995,C106,2.431
1/31/1996,C106,2.161
2/29/1996,C106,2.338
3/31/1996,C106,2.291
4/30/1996,C106,2.922
5/31/1996,C106,3.278
6/30/1996,C106,3.797
7/31/1996,C106,3.858
8/31/1996,C106,4.014
9/30/1996,C106,3.603
10/31/1996,C106,3.24
11/30/1996,C106,2.617
12/31/1996,C106,2.431
1/31/1997,C106,2.161
2/28/1997,C106,2.338
3/31/1997,C106,2.291
4/30/1997,C106,2.922
5/31/1997,C106,3.278
6/30/1997,C106,3.797
7/31/1997,C106,3.858
8/31/1997,C106,4.014
9/30/1997,C106,3.603
10/31/1997,C106,3.24
11/30/1997,C106,2.617
12/31/1997,C106,2.431
1/31/1998,C106,2.161
2/28/1998,C106,2.338
3/31/1998,C106,2.291
4/30/1998,C106,2.922
5/31/1998,C106,3.278
6/30/1998,C106,3.797
7/31/1998,C106,3.858
8/31/1998,C106,4.014
9/30/1998,C106,3.603
10/31/1998,C106,3.24
11/30/1998,C106,2.617
12/31/1998,C106,2.431
1/31/1999,C106,2.161
2/28/1999,C106,2.338
3/31/1999,C106,2.291
4/30/1999,C106,2.922
5/31/1999,C106,3.278
6/30/1999,C106,3.797
7/31/1999,C106,3.858
8/31/1999,C106,4.014
9/30/1999,C106,3.603
10/31/1999,C106,3.24
11/30/1999,C106,2.617
12/31/1999,C106,2.431
1/31/2000,C106,2.161
2/29/2000,C106,2.338
3/31/2000,C106,2.291
4/30/2000,C106,2.922
5/31/2000,C106,3.278
6/30/2000,C106,3.797
7/31/2000,C106,3.858
8/31/2000,C106,4.014
9/30/2000,C106,3.603
10/31/2000,C106,3.24
11/30/2000,C106,2.617
12/31/2000,C106,2.431
1/31/2001,C106,2.161
2/28/2001,C106,2.338
3/31/2001,C106,2.291
4/30/2001,C106,2.922
5/31/2001,C106,3.278
6/30/2001,C106,3.797
7/31/2001,C106,3.858
8/31/2001,C106,4.014
9/30/2001,C106,3.603
10/31/2001,C106,3.24
11/30/2001,C106,2.617
12/31/2001,C106,2.431
1/31/2002,C106,2.161
2/28/2002,C106,2.338
3/31/2002,C106,2.291
4/30/2002,C106,2.922
5/31/2002,C106,3.278
6/30/2002,C106,3.797
7/31/2002,C106,3.858
8/31/2002,C106,4.014
9/30/2002,C106,3.603
10/31/2002,C106,3.24
11/30/2002,C106,2.617
12/31/2002,C106,2.431
1/31/2003,C106,2.161
2/28/2003,C106,2.338
3/31/2003,C106,2.291
4/30/2003,C106,2.922
5/31/2003,C106,3.278
6/30/2003,C106,3.797
7/31/2003,C106,3.858
8/31/2003,C106,4.014
9/30/2003,C106,3.603
10/31/1921,C116,19.339
11/30/1921,C116,16.954
12/31/1921,C116,17.079
1/31/1922,C116,16.452
2/28/1922,C116,15.184
3/31/1922,C116,17.386
4/30/1922,C116,24.183
5/31/1922,C116,56.7
6/30/1922,C116,86.626
7/31/1922,C116,75.668
8/31/1922,C116,44.151
9/30/1922,C116,25.222
10/31/1922,C116,16.219
11/30/1922,C116,14.224
